                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9053,                 2.0525,                 2.8923,                0.64083,                0.65566,                0.63308,                0.40174,                 2.5787,                 1.3789,                  2.688,              0.0033282,              0.0033282,              0.0033282
                      2,                 2.8245,                 1.9501,                 2.7231,                 0.8448,                0.45881,                0.52674,                0.32254,                 2.7372,                 1.7115,                 2.7866,              0.0066282,              0.0066282,              0.0066282
                      3,                 2.8692,                 2.0639,                 2.7469,                 0.8562,                0.43049,                0.50206,                 0.3078,                 2.7863,                 1.7465,                  2.798,               0.009895,               0.009895,               0.009895
                      4,                 2.8854,                 2.1249,                 2.7616,                0.85011,                0.52134,                0.55792,                 0.3527,                  2.589,                 1.4659,                 2.6692,              0.0098501,              0.0098501,              0.0098501
                      5,                 2.8245,                 2.0279,                 2.7084,                0.84334,                0.52531,                0.55884,                 0.3671,                 2.5389,                 1.4566,                 2.6205,              0.0098001,              0.0098001,              0.0098001
                      6,                 2.7563,                 1.9717,                 2.6772,                0.86662,                0.51515,                0.58317,                0.38273,                 2.4748,                 1.3533,                 2.5883,              0.0097501,              0.0097501,              0.0097501
                      7,                 2.6761,                 1.8937,                 2.6372,                0.86232,                0.51665,                0.56659,                0.38134,                 2.3829,                  1.311,                 2.5225,              0.0097001,              0.0097001,              0.0097001
                      8,                 2.6529,                 1.8723,                 2.6131,                0.89476,                0.53874,                0.59231,                0.40689,                 2.2573,                 1.1832,                 2.4442,              0.0096502,              0.0096502,              0.0096502
                      9,                 2.6283,                 1.7952,                 2.5855,                0.90487,                0.54953,                0.59726,                0.41398,                 2.2245,                 1.1389,                 2.4144,              0.0096002,              0.0096002,              0.0096002
                     10,                 2.5994,                 1.7525,                 2.5761,                 0.5808,                0.54715,                0.60473,                0.42644,                 2.2613,                 1.1621,                 2.4562,              0.0095502,              0.0095502,              0.0095502
                     11,                 2.5727,                 1.7436,                 2.5529,                0.90326,                0.55487,                0.61288,                0.43269,                 2.1875,                 1.1183,                 2.3756,              0.0095003,              0.0095003,              0.0095003
                     12,                 2.5234,                 1.6729,                 2.5253,                0.58243,                0.55198,                0.61655,                0.42346,                 2.2788,                 1.1184,                 2.4506,              0.0094503,              0.0094503,              0.0094503
                     13,                  2.507,                 1.6633,                 2.5223,                0.91315,                0.56015,                0.60703,                0.43154,                 2.1543,                 1.0655,                  2.383,              0.0094003,              0.0094003,              0.0094003
                     14,                 2.4743,                 1.6627,                 2.5093,                0.91471,                0.56436,                0.61453,                0.43833,                 2.1297,                 1.0743,                 2.3678,              0.0093503,              0.0093503,              0.0093503
                     15,                 2.3316,                 1.5083,                 2.4158,                0.91719,                 0.5565,                0.62236,                0.44805,                 2.1066,                 1.0172,                  2.342,              0.0093003,              0.0093003,              0.0093003
                     16,                 2.2942,                 1.4737,                 2.3908,                0.91002,                0.58125,                  0.626,                0.45067,                 2.0974,                 1.0199,                 2.3165,              0.0092504,              0.0092504,              0.0092504
                     17,                 2.1532,                 1.3725,                 2.3207,                0.70792,                0.56738,                0.63627,                0.45254,                 2.1155,                 1.0108,                  2.339,              0.0092004,              0.0092004,              0.0092004
                     18,                  2.121,                 1.3274,                 2.3054,                0.92015,                0.57436,                0.61826,                0.44946,                 2.0721,                0.97334,                 2.3105,              0.0091504,              0.0091504,              0.0091504
                     19,                 2.2995,                 1.4918,                 2.4145,                0.83869,                0.62924,                0.65112,                 0.4626,                 2.0909,                0.99098,                 2.3341,              0.0091004,              0.0091004,              0.0091004
